# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -2.443369e+01    -4.474287e+00
1.007705e+02    -2.449630e+01    -4.479504e+00
1.015469e+02    -2.455909e+01    -4.484568e+00
1.023293e+02    -2.462202e+01    -4.489486e+00
1.031177e+02    -2.468509e+01    -4.494261e+00
1.039122e+02    -2.474829e+01    -4.498896e+00
1.047129e+02    -2.481168e+01    -4.503391e+00
1.055196e+02    -2.487532e+01    -4.507742e+00
1.063327e+02    -2.493929e+01    -4.511942e+00
1.071519e+02    -2.500367e+01    -4.515981e+00
1.079775e+02    -2.506854e+01    -4.519850e+00
1.088095e+02    -2.513395e+01    -4.523539e+00
1.096478e+02    -2.519992e+01    -4.527039e+00
1.104926e+02    -2.526642e+01    -4.530349e+00
1.113440e+02    -2.533341e+01    -4.533466e+00
1.122018e+02    -2.540078e+01    -4.536396e+00
1.130663e+02    -2.546845e+01    -4.539146e+00
1.139375e+02    -2.553631e+01    -4.541724e+00
1.148154e+02    -2.560431e+01    -4.544139e+00
1.157000e+02    -2.567240e+01    -4.546397e+00
1.165914e+02    -2.574062e+01    -4.548498e+00
1.174898e+02    -2.580902e+01    -4.550440e+00
1.183950e+02    -2.587771e+01    -4.552213e+00
1.193072e+02    -2.594684e+01    -4.553805e+00
1.202264e+02    -2.601652e+01    -4.555201e+00
1.211528e+02    -2.608684e+01    -4.556390e+00
1.220862e+02    -2.615787e+01    -4.557360e+00
1.230269e+02    -2.622957e+01    -4.558109e+00
1.239748e+02    -2.630185e+01    -4.558639e+00
1.249300e+02    -2.637459e+01    -4.558959e+00
1.258925e+02    -2.644762e+01    -4.559079e+00
1.268625e+02    -2.652081e+01    -4.559012e+00
1.278400e+02    -2.659408e+01    -4.558765e+00
1.288250e+02    -2.666740e+01    -4.558340e+00
1.298175e+02    -2.674086e+01    -4.557732e+00
1.308177e+02    -2.681460e+01    -4.556927e+00
1.318257e+02    -2.688882e+01    -4.555908e+00
1.328414e+02    -2.696371e+01    -4.554655e+00
1.338649e+02    -2.703941e+01    -4.553154e+00
1.348963e+02    -2.711598e+01    -4.551395e+00
1.359356e+02    -2.719335e+01    -4.549379e+00
1.369830e+02    -2.727136e+01    -4.547116e+00
1.380384e+02    -2.734980e+01    -4.544621e+00
1.391020e+02    -2.742843e+01    -4.541908e+00
1.401737e+02    -2.750711e+01    -4.538987e+00
1.412538e+02    -2.758576e+01    -4.535859e+00
1.423421e+02    -2.766449e+01    -4.532514e+00
1.434388e+02    -2.774350e+01    -4.528931e+00
1.445440e+02    -2.782309e+01    -4.525086e+00
1.456577e+02    -2.790351e+01    -4.520956e+00
1.467799e+02    -2.798496e+01    -4.516527e+00
1.479108e+02    -2.806745e+01    -4.511796e+00
1.490505e+02    -2.815082e+01    -4.506774e+00
1.501989e+02    -2.823479e+01    -4.501479e+00
1.513561e+02    -2.831902e+01    -4.495930e+00
1.525223e+02    -2.840324e+01    -4.490140e+00
1.536975e+02    -2.848732e+01    -4.484107e+00
1.548817e+02    -2.857137e+01    -4.477815e+00
1.560750e+02    -2.865570e+01    -4.471236e+00
1.572775e+02    -2.874071e+01    -4.464338e+00
1.584893e+02    -2.882676e+01    -4.457098e+00
1.597104e+02    -2.891406e+01    -4.449508e+00
1.609410e+02    -2.900256e+01    -4.441575e+00
1.621810e+02    -2.909195e+01    -4.433323e+00
1.634306e+02    -2.918175e+01    -4.424776e+00
1.646898e+02    -2.927151e+01    -4.415951e+00
1.659587e+02    -2.936100e+01    -4.406848e+00
1.672374e+02    -2.945026e+01    -4.397445e+00
1.685259e+02    -2.953967e+01    -4.387708e+00
1.698244e+02    -2.962981e+01    -4.377599e+00
1.711328e+02    -2.972117e+01    -4.367096e+00
1.724514e+02    -2.981402e+01    -4.356198e+00
1.737801e+02    -2.990821e+01    -4.344925e+00
1.751190e+02    -3.000324e+01    -4.333310e+00
1.764683e+02    -3.009844e+01    -4.321382e+00
1.778279e+02    -3.019325e+01    -4.309147e+00
1.791981e+02    -3.028753e+01    -4.296588e+00
1.805788e+02    -3.038161e+01    -4.283664e+00
1.819701e+02    -3.047619e+01    -4.270333e+00
1.833721e+02    -3.057202e+01    -4.256567e+00
1.847850e+02    -3.066956e+01    -4.242371e+00
1.862087e+02    -3.076868e+01    -4.227772e+00
1.876434e+02    -3.086874e+01    -4.212813e+00
1.890892e+02    -3.096881e+01    -4.197525e+00
1.905461e+02    -3.106816e+01    -4.181909e+00
1.920142e+02    -3.116669e+01    -4.165932e+00
1.934936e+02    -3.126496e+01    -4.149545e+00
1.949845e+02    -3.136399e+01    -4.132707e+00
1.964868e+02    -3.146471e+01    -4.115407e+00
1.980007e+02    -3.156742e+01    -4.097674e+00
1.995262e+02    -3.167158e+01    -4.079559e+00
2.010635e+02    -3.177603e+01    -4.061106e+00
2.026127e+02    -3.187964e+01    -4.042324e+00
2.041738e+02    -3.198196e+01    -4.023179e+00
2.057469e+02    -3.208354e+01    -4.003615e+00
2.073322e+02    -3.218568e+01    -3.983587e+00
2.089296e+02    -3.228966e+01    -3.963092e+00
2.105394e+02    -3.239593e+01    -3.942171e+00
2.121615e+02    -3.250373e+01    -3.920890e+00
2.137962e+02    -3.261151e+01    -3.899291e+00
2.154435e+02    -3.271785e+01    -3.877368e+00
2.171034e+02    -3.282242e+01    -3.855070e+00
2.187762e+02    -3.292630e+01    -3.832334e+00
2.204618e+02    -3.303131e+01    -3.809133e+00
2.221604e+02    -3.313878e+01    -3.785499e+00
2.238721e+02    -3.324860e+01    -3.761504e+00
2.255970e+02    -3.335910e+01    -3.737213e+00
2.273352e+02    -3.346819e+01    -3.712634e+00
2.290868e+02    -3.357483e+01    -3.687716e+00
2.308518e+02    -3.367989e+01    -3.662389e+00
2.326305e+02    -3.378565e+01    -3.636617e+00
2.344229e+02    -3.389407e+01    -3.610440e+00
2.362291e+02    -3.400525e+01    -3.583943e+00
2.380492e+02    -3.411717e+01    -3.557197e+00
2.398833e+02    -3.422711e+01    -3.530201e+00
2.417315e+02    -3.433386e+01    -3.502887e+00
2.435940e+02    -3.443878e+01    -3.475181e+00
2.454709e+02    -3.454487e+01    -3.447070e+00
2.473622e+02    -3.465426e+01    -3.418625e+00
2.492681e+02    -3.476630e+01    -3.389945e+00
2.511886e+02    -3.487787e+01    -3.361079e+00
2.531240e+02    -3.498593e+01    -3.331982e+00
2.550743e+02    -3.509029e+01    -3.302562e+00
2.570396e+02    -3.519400e+01    -3.272771e+00
2.590200e+02    -3.530067e+01    -3.242662e+00
2.610157e+02    -3.541109e+01    -3.212348e+00
2.630268e+02    -3.552221e+01    -3.181905e+00
2.650534e+02    -3.562977e+01    -3.151299e+00
2.670956e+02    -3.573238e+01    -3.120428e+00
2.691535e+02    -3.583314e+01    -3.089230e+00
2.712273e+02    -3.593677e+01    -3.057761e+00
2.733170e+02    -3.604480e+01    -3.026146e+00
2.754229e+02    -3.615372e+01    -2.994466e+00
2.775450e+02    -3.625822e+01    -2.962669e+00
2.796834e+02    -3.635677e+01    -2.930640e+00
2.818383e+02    -3.645352e+01    -2.898331e+00
2.840098e+02    -3.655411e+01    -2.865832e+00
2.861980e+02    -3.665936e+01    -2.833282e+00
2.884032e+02    -3.676394e+01    -2.800724e+00
2.906252e+02    -3.686197e+01    -2.768059e+00
2.928645e+02    -3.695385e+01    -2.735171e+00
2.951209e+02    -3.704619e+01    -2.702076e+00
2.973948e+02    -3.714425e+01    -2.668922e+00
2.996861e+02    -3.724535e+01    -2.635822e+00
3.019952e+02    -3.734152e+01    -2.602722e+00
3.043220e+02    -3.742903e+01    -2.569476e+00
3.066667e+02    -3.751343e+01    -2.536041e+00
3.090295e+02    -3.760296e+01    -2.502553e+00
3.114106e+02    -3.769790e+01    -2.469164e+00
3.138099e+02    -3.778954e+01    -2.435853e+00
3.162278e+02    -3.787113e+01    -2.402459e+00
3.186642e+02    -3.794715e+01    -2.368910e+00
3.211195e+02    -3.802785e+01    -2.335343e+00
3.235937e+02    -3.811520e+01    -2.301927e+00
3.260869e+02    -3.819945e+01    -2.268640e+00
3.285993e+02    -3.827214e+01    -2.235304e+00
3.311311e+02    -3.833848e+01    -2.201853e+00
3.336824e+02    -3.841048e+01    -2.168452e+00
3.362534e+02    -3.848932e+01    -2.135270e+00
3.388442e+02    -3.856276e+01    -2.102233e+00
3.414549e+02    -3.862281e+01    -2.069144e+00
3.440857e+02    -3.867838e+01    -2.036001e+00
3.467369e+02    -3.874221e+01    -2.003023e+00
3.494084e+02    -3.881068e+01    -1.970318e+00
3.521005e+02    -3.886839e+01    -1.937717e+00
3.548134e+02    -3.891250e+01    -1.905054e+00
3.575472e+02    -3.895807e+01    -1.872461e+00
3.603020e+02    -3.901374e+01    -1.840168e+00
3.630781e+02    -3.906649e+01    -1.808127e+00
3.658755e+02    -3.910246e+01    -1.776097e+00
3.686945e+02    -3.913097e+01    -1.744075e+00
3.715352e+02    -3.916920e+01    -1.712326e+00
3.743978e+02    -3.921179e+01    -1.680927e+00
